SENT,RECEIVED
"Perfect, thank you.",I figured it out and sent over the payment. Thank you so much again! I'll reach back out once I have the money for book two. Whitney
"Hi Whitney,We are wrapping up the last parts of the audiobook now. When uploading the audiobook on Amazon you need to provide a retail sample as well. This is the sample potential buyers can listen to in order to decide if they want to purchase the book. The sample should be shorter then 5 minutes.Do you have any part of the book in mind that you want to be used for the retail sample?Justin","Hi Justin,I don't have a specific portion in mind for the retail sample. Maybe chapter 2? Do you have any suggestions? I'm excited about getting the full audiobook! Would it be possible to also book with y'all for book 2? I have that one all written. Book 3 releases Monday, January 15th, and book 4 (the final of the series) releases May 15th of this year. I'd love to have these two narrators do the entire 4 book series if that's possible.WhitneyWhitney's Book Works"
"Hi Whitney,Have you received my previous email containing the contract?If you have received it, how does it look?  Do you have any questions or suggested changes to the contract?Best regards,Justin Schiltman",Hi!I'm sorry for my delayed response. I'd had someone looking over the contract for me. I didn't see any issues and am looking to move forward with it all.WhitneyWhitney's Book Works
"We will start with the first book and when everything goes well we will continue with the rest of the series. We can publish the audiobook on amazon.com, audible and iTunes. Would you like us to make a custom sample for you?","I have considered that. Would it be just the one book or could we do more like this? Also, what platforms would it be available?"
"Hi Nola,Thank you for your quick response. I understand completely. I am able to get a female voice actor with a higher tone of voice but I won't be able to get any voice actors without this accent. Let me know if you want me to send a sample of this other female voice actor or if the accent is a complete dealbreaker for you.","I know beggars shouldn't be choosers. ?? But if/whe. I ever get this done, I want it to be perfect, and since I'm never overly impressed with even the biggest names in narration, i just really want them to match what's in my head. I'm sorry. ??"
"Hi Praise,Thank you so much. I have approved the payment.We are also very excited for the audiobook to launch!","Hi Justin, Perfect!! All done. Congratulations to you and your team! I have approved in ACX just waiting for your approval. Incredible job, and I can't wait for it to go on sale.Praise"
"Hi Kaci,Thank you for your response.The lack of sales could be because this was your first audiobook. The audiobooks need, just like the ebook, some time to build a fanbase. I can imagine you wouldn't want to risk another investment after this experience. Would you be interested in doing a royalty share agreement with us? That would mean you don't need to invest anything yourself. Once the audiobook is published we will share all royalties 50-50.Best regards,Justin SchiltmanZim Recordings","Hi Justin,Im excited about making more audiobooks at some point. However, Christmas in Dixie was produced at $150/hour professionally, I hold all the rights, and I still have not made back the cost (in 18 months time!).Although I have some readers asking me to make more audiobooks, the reality is my income breakdown is about 70 percent ebook and 25 percent paperback at this time.Im glad you enjoyed my book. Thanks for getting back to me.Kaci "
"Hi Deanna, I understand, that was probably a good decision. Have you considered making audiobooks for your ""Mendell Hawks"" series as well? Best regards,Justin SchiltmanZim Recordings","Hi Justin -Thanks for reaching out! Outdrawn's audio rights have been sold, so I won't be able to accept this offer. But I'll definitely keep your production studio in mind for future projects. Best,Deanna "
"Hi Rory,We haven't done books in the gay romance genre yet but these are some books that we have done:Their Hung Step Brother - BD HamptonChase of Paradise - Jamal ByasBitten witch - Whitney MorsilloWarrior Queen - Praise MatemaviThe best way for us to show you the quality we deliver, is for us to make a custom sample for you.Would you be interested in that?Best regards,Justin Schiltman","Hi Justin, Thanks for reaching out! I'd love to see a list of the other audiobooks you've produced, particularly in the gay romance genre.Rory"
"
Hi Praise,We have finished all corrections. I have submitted the book for review again.Please let me know if everything sounds good now or if you want us to make some other corrections.Best regards,Justin SchiltmanZim Recordings","I have gone through the audiobook twice and had another person also listen. 2 more places that need editing, and then, from my end, we are done!Chapter 33 -  0017 can edit out the sniffleChapter 38 - 0053-0055 Should be - The sun too bright and the sky too blue.Thank you so much! Looking forward to the audiobook completion. Your team has been phenomenal.Looking forward to the end.Praise"
